Date,High,Low,Open,Close,Volume,Adj Close
2019-02-19,21344.169921875,21217.16015625,21256.580078125,21302.650390625,53600000.0,21302.650390625
2019-02-20,21494.849609375,21315.390625,21346.0390625,21431.490234375,59700000.0,21431.490234375
2019-02-21,21553.349609375,21318.740234375,21422.310546875,21464.23046875,68400000.0,21464.23046875
2019-02-22,21451.23046875,21348.669921875,21376.359375,21425.509765625,52400000.0,21425.509765625
2019-02-25,21590.029296875,21505.0703125,21567.66015625,21528.23046875,51800000.0,21528.23046875
2019-02-26,21610.880859375,21405.83984375,21556.01953125,21449.390625,56400000.0,21449.390625
2019-02-27,21578.810546875,21492.650390625,21504.609375,21556.509765625,67700000.0,21556.509765625
2019-02-28,21536.55078125,21364.08984375,21536.55078125,21385.16015625,71500000.0,21385.16015625
2019-03-01,21641.580078125,21490.01953125,21490.01953125,21602.689453125,62600000.0,21602.689453125
2019-03-04,21860.390625,21740.919921875,21812.810546875,21822.0390625,59100000.0,21822.0390625
2019-03-05,21798.380859375,21659.0390625,21712.80078125,21726.279296875,59200000.0,21726.279296875
2019-03-06,21684.599609375,21550.44921875,21659.029296875,21596.810546875,57100000.0,21596.810546875
2019-03-07,21472.16015625,21402.119140625,21456.880859375,21456.009765625,75200000.0,21456.009765625
2019-03-08,21359.3203125,20993.0703125,21339.169921875,21025.560546875,99800000.0,21025.560546875
2019-03-11,21145.939453125,20938.0,21062.75,21125.08984375,55600000.0,21125.08984375
2019-03-12,21568.48046875,21348.810546875,21361.609375,21503.689453125,67800000.0,21503.689453125
2019-03-13,21474.169921875,21198.990234375,21425.76953125,21290.240234375,66200000.0,21290.240234375
2019-03-14,21522.75,21287.01953125,21474.580078125,21287.01953125,64100000.0,21287.01953125
2019-03-15,21521.6796875,21374.849609375,21376.73046875,21450.849609375,83200000.0,21450.849609375
2019-03-18,21612.669921875,21500.3203125,21576.359375,21584.5,55200000.0,21584.5
2019-03-19,21585.55078125,21425.7890625,21558.4296875,21566.849609375,59900000.0,21566.849609375
2019-03-20,21614.169921875,21499.16015625,21548.650390625,21608.919921875,65300000.0,21608.919921875
